병원이름,별점,리뷰수,주소,전화,location_type
세진동물병원,2.3,3건,"부산 수영구 과정로15번길 7, (지번) 망미1동 426-1",051-751-5656,0
행복한동물병원,0.0,0건,"부산 사하구 을숙도대로 713, (지번) 신평동 569-51",,0
반송동물병원,0.0,0건,"부산 해운대구 아랫반송로 11-1, (지번) 반송1동 257-248",051-545-0041,0
송준호동물병원,0.0,0건,"부산 해운대구 마린시티2로 2 마린파크상가 2층 208호, (지번) 우동 1405",051-746-7519,0
부산야생동물치료센터,5.0,3건,"부산 사하구 낙동남로 1240-2, (지번) 하단동 1207-1",051-209-2091,0
초원동물병원,0.0,0건,"부산 동래구 명장로 150 동호빌딩 1층, (지번) 안락동 469-8",051-525-1275,0
쿨펫동물병원,0.0,0건,"부산 연제구 연수로 89, (지번) 연산동 822-7",051-853-0041,0
부산어린이대공원 동물병원,0.0,0건,"부산 부산진구 새싹로 295-1, (지번) 초읍동 43-13",,0
더바른동물병원,0.0,0건,"부산 사하구 다대로 700 2층, (지번) 다대동 1548-47",,0
MS동물병원,1.0,2건,"부산 연제구 과정로 354, (지번) 연산동 104-82",051-868-6631,0
사랑의동물병원,5.0,1건,"부산 해운대구 좌동순환로 175, (지번) 좌동 1407-3",051-702-1626,0
닥터제이동물병원애견샵,0.0,0건,"부산 동래구 충렬대로107번길 6, (지번) 온천2동 1430-3",051-553-0028,0
부산강아지분양 고양이분양 미유펫,4.9,"1,148건","부산 연제구 과정로344번길 1 1,2층, (지번) 연산동 306-39",010-9384-8944,0
공중전화 개금동물병원앞,0.0,0건,부산 사상구 주례동 23-5,,0
